website,number,concurrency,RPS

Apple,10,1,2.01
Apple,20,1,1.60
Apple,30,1,2.37
Apple,10,2,2.30
Apple,20,2,2.54
Apple,30,2,2.64
Apple,10,3,2.19
Apple,20,3,2.36
Apple,30,3,2.61
Apple,10,4,3.74
Apple,20,4,2.92
Apple,30,4,4.42
Apple,10,5,4.11
Apple,20,5,4.44
Apple,30,5,4.68
Harvard,10,1,3.67
Harvard,20,1,4.31
Harvard,30,1,5.05
Harvard,10,2,5.12
Harvard,20,2,6.04
Harvard,30,2,6.68
Harvard,10,3,5.40
Harvard,20,3,5.82
Harvard,30,3,6.87
Harvard,10,4,5.41
Harvard,20,4,6.57
Harvard,30,4,7.53
Harvard,10,5,6.37
Harvard,20,5,6.91
Harvard,30,5,7.34
MIT,10,1,7.42
MIT,20,1,8.00
MIT,30,1,9.16
MIT,10,2,7.76
MIT,20,2,7.68
MIT,30,2,9.02
MIT,10,3,7.98
MIT,20,3,7.80
MIT,30,3,9.38
MIT,10,4,9.69
MIT,20,4,8.61
MIT,30,4,11.52
MIT,10,5,9.63
MIT,20,5,9.34
MIT,30,5,11.86

Apple,40,10,14.23
Apple,50,10,11.56
Apple,60,10,12.71
Apple,40,15,16.88
Apple,50,15,15.47
Apple,60,15,16.48
Apple,40,20,7.89
Apple,50,20,12.57
Apple,60,20,18.33
Harvard,40,10,14.75
Harvard,50,10,7.60
Harvard,60,10,18.37
Harvard,40,15,16.92
Harvard,50,15,13.31
Harvard,60,15,22.95
Harvard,40,20,18.58
Harvard,50,20,17.98
Harvard,60,20,20.45
MIT,40,10,18.80
MIT,50,10,14.48
MIT,60,10,34.98
MIT,40,15,20.74
MIT,50,15,19.18
MIT,60,15,26.03
MIT,40,20,19.19
MIT,50,20,20.10
MIT,60,20,32.48


